Title,Link,Channel Name,Channel Link,Subscriber Count,Category,Views,Likes,DislikesDrDisrespect shows why he is the SNIPER GOD in ANY GAME,https://www.youtube.com/watch?v=gF7TSlGv6no&fbclid=IwAR3u-MSia_FTkm1D9hZuQ4w1gxOApAHC08gRv7XFtsfNZ0Z-q-3KiVTmuhk,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"15,824","1,963",27
"OFF LIVE - Taylor Swift ""Live On The Seine"" @ Paris, FRANCE",https://www.youtube.com/watch?v=8W_278Mc0Lo,OFF Productions,www.youtube.com/channel/UCZctYnv6VrPF0XKoldNB5AA,112K,None,"4,542,037","37,004",777
Jonas Brothers - What A Man Gotta Do (Official Video),https://www.youtube.com/watch?v=XejVB_fba04,Jonas Brothers,www.youtube.com/channel/UCFvXnyAhluG3sa6p3eOs_LA,4.54M,None,"39,978,544","1,111,643","27,626"
Top 10 Underrated Taylor Swift Songs,https://www.youtube.com/watch?v=t_-IrLbP1zs,MsMojo,www.youtube.com/channel/UC3rLoj87ctEHCcS7BuvIzkQ,3.2M,None,"461,989","13,569",278
"Taylor Swift Performs ""Out Of The Woods"" at GRAMMY Museum",https://www.youtube.com/watch?v=hHN0ca6lf1c,GRAMMY Museum,www.youtube.com/channel/UCDhUFkJSAIz4gbZ869htJRw,23.1K,None,"11,817,520","139,235","1,836"
Maroon 5 - Girls Like You ft. Cardi B (Volume 2) (Official Music Video),https://www.youtube.com/watch?v=cBVGlBWQzuc,Maroon 5,www.youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw,29.7M,None,"378,648,425","2,625,776","106,659"
"Taylor performs ""Blank Space"" at The GRAMMY Museum",https://www.youtube.com/watch?v=p1Zt47V3pPw,Taylor Swift,www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,37.1M,None,"11,653,106","220,581","2,280"
Taylor Swift - You Need To Calm Down,https://www.youtube.com/watch?v=Dkk9gvTmCXY,Taylor Swift,www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,37.1M,None,"184,287,932","3,507,357","292,008"
"Lady Gaga, Bradley Cooper - Shallow (Live at 2019 Academy Awards)",https://www.youtube.com/watch?v=Ew_Wd5bMOB0,Will Edzy Hartwin,www.youtube.com/channel/UCfPZRCb0xppL9AppPSMGg2A,9.88K,None,"10,659,360","59,012","2,810"
TOP 10 | BEST TAYLOR SWIFT Blind Auditions in The Voice Kids,https://www.youtube.com/watch?v=MrN7iXL8c4U,Best of The Voice Kids,www.youtube.com/channel/UC4pTrQqndbuz1XxGyp_i6Zg,1.07M,None,"663,849","16,112",254
"The Greatest Showman | ""Rewrite The Stars"" Lyric Video | Fox Family Entertainment",https://www.youtube.com/watch?v=yO28Z5_Eyls,Fox Family Entertainment,www.youtube.com/channel/UCNDaFXLGF7W6ADJ7eUwIhgg,431K,None,None,None,None
